support,itemsets
0.019226857,frozenset({'一般清洁剂'})
0.025839268,frozenset({'一般肉类'})
0.026042726,frozenset({'一般饮料'})
0.058596134,frozenset({'人造黄油'})
0.075686673,frozenset({'仁果类水果'})
0.011393693,frozenset({'保鲜膜/袋'})
0.255645982,frozenset({'全脂牛奶'})
0.193591048,frozenset({'其他蔬菜'})
0.028382503,frozenset({'其他饮料'})
0.025025432,frozenset({'冰淇淋'})
0.059003052,frozenset({'冷冻热狗肠'})
0.010783316,frozenset({'冷冻甜点'})
0.048118006,frozenset({'冷冻蔬菜'})
0.028382503,frozenset({'冷冻餐饭'})
0.011698881,frozenset({'冷冻鱼'})
0.053306205,frozenset({'凝乳'})
0.024516785,frozenset({'切片奶酪'})
0.013021363,frozenset({'包装水果/蔬菜'})
0.017700916,frozenset({'半成品面包'})
0.032960326,frozenset({'卫生用品'})
0.010274669,frozenset({'卷装制品'})
0.010478128,frozenset({'厨房清洁剂'})
0.017700916,frozenset({'发酵粉'})
0.021057986,frozenset({'口香糖'})
0.058087487,frozenset({'咖啡'})
0.037843337,frozenset({'咸点心'})
0.039674466,frozenset({'奶油乳酪'})
0.038453713,frozenset({'威化饼'})
0.014242116,frozenset({'季节性商品'})
0.049643947,frozenset({'巧克力'})
0.015055951,frozenset({'意大利面'})
0.079857579,frozenset({'报纸'})
0.063479145,frozenset({'本地蛋类'})
0.082807731,frozenset({'柑橘类水果'})
0.109053917,frozenset({'根茎类蔬菜'})
0.072329603,frozenset({'水果/蔬菜汁'})
0.011190234,frozenset({'水果奶油涂抹酱'})
0.033265514,frozenset({'汉堡肉'})
0.028077314,frozenset({'油'})
0.031027467,frozenset({'洋葱'})
0.026042726,frozenset({'火腿'})
0.010274669,frozenset({'炼乳'})
0.011088505,frozenset({'烈酒'})
0.104984741,frozenset({'热带水果'})
0.05249237,frozenset({'牛肉'})
0.027365209,frozenset({'特制门锁'})
0.030417091,frozenset({'特色巧克力'})
0.05768057,frozenset({'猪肉'})
0.023296033,frozenset({'猫食'})
0.080569685,frozenset({'瓶装啤酒'})
0.110579858,frozenset({'瓶装水'})
0.037131231,frozenset({'甜点'})
0.019023398,frozenset({'白酒'})
0.042115972,frozenset({'白面包'})
0.017293998,frozenset({'盆栽'})
0.010783316,frozenset({'盐'})
0.024516785,frozenset({'硬奶酪'})
0.017599186,frozenset({'碗碟'})
0.019226857,frozenset({'粉红葡萄酒'})
0.089013225,frozenset({'糕点'})
0.03387589,frozenset({'糖'})
0.029908444,frozenset({'糖果'})
0.010783316,frozenset({'罐头蔬菜'})
0.015055951,frozenset({'罐头鱼'})
0.077721261,frozenset({'罐装啤酒'})
0.017904374,frozenset({'腌菜'})
0.012004069,frozenset({'芥末'})
0.010376399,frozenset({'花卉种子'})
0.174465921,frozenset({'苏打水'})
0.033265514,frozenset({'莓果'})
0.022380468,frozenset({'葡萄'})
0.016581892,frozenset({'融化奶酪'})
0.098575788,frozenset({'购物袋'})
0.033468973,frozenset({'超高温杀菌的牛奶'})
0.017090539,frozenset({'软奶酪'})
0.027975585,frozenset({'酪'})
0.139572737,frozenset({'酸奶'})
0.071719227,frozenset({'酸奶油'})
0.037436419,frozenset({'长面包'})
0.184028484,frozenset({'面包卷'})
0.017395727,frozenset({'面粉'})
0.013224822,frozenset({'风味蛋糕'})
0.052390641,frozenset({'餐巾'})
0.093997965,frozenset({'香肠'})
0.016276704,frozenset({'香草'})
0.042929807,frozenset({'鸡'})
0.055442523,frozenset({'黄油'})
0.064903357,frozenset({'黑面包'})
0.024211597,"frozenset({'人造黄油', '全脂牛奶'})"
0.019735504,"frozenset({'人造黄油', '其他蔬菜'})"
0.011088505,"frozenset({'人造黄油', '根茎类蔬菜'})"
0.010274669,"frozenset({'人造黄油', '瓶装水'})"
0.01017294,"frozenset({'人造黄油', '苏打水'})"
0.014242116,"frozenset({'酸奶', '人造黄油'})"
0.014750763,"frozenset({'人造黄油', '面包卷'})"
0.030111902,"frozenset({'仁果类水果', '全脂牛奶'})"
0.026144456,"frozenset({'仁果类水果', '其他蔬菜'})"
0.013835198,"frozenset({'柑橘类水果', '仁果类水果'})"
0.015564598,"frozenset({'仁果类水果', '根茎类蔬菜'})"
0.020447609,"frozenset({'仁果类水果', '热带水果'})"
0.010579858,"frozenset({'仁果类水果', '瓶装水'})"
0.010681587,"frozenset({'仁果类水果', '糕点'})"
0.013326551,"frozenset({'仁果类水果', '苏打水'})"
0.018006104,"frozenset({'酸奶', '仁果类水果'})"
0.013936928,"frozenset({'仁果类水果', '面包卷'})"
0.010783316,"frozenset({'香肠', '仁果类水果'})"
0.074872838,"frozenset({'全脂牛奶', '其他蔬菜'})"
0.020549339,"frozenset({'冷冻热狗肠', '全脂牛奶'})"
0.020447609,"frozenset({'冷冻蔬菜', '全脂牛奶'})"
0.026144456,"frozenset({'凝乳', '全脂牛奶'})"
0.010783316,"frozenset({'全脂牛奶', '切片奶酪'})"
0.012817904,"frozenset({'卫生用品', '全脂牛奶'})"
0.01871821,"frozenset({'全脂牛奶', '咖啡'})"
0.011190234,"frozenset({'全脂牛奶', '咸点心'})"
0.016480163,"frozenset({'全脂牛奶', '奶油乳酪'})"
0.012716175,"frozenset({'全脂牛奶', '威化饼'})"
0.016683622,"frozenset({'巧克力', '全脂牛奶'})"
0.027365209,"frozenset({'报纸', '全脂牛奶'})"
0.030010173,"frozenset({'全脂牛奶', '本地蛋类'})"
0.03051882,"frozenset({'柑橘类水果', '全脂牛奶'})"
0.048931841,"frozenset({'全脂牛奶', '根茎类蔬菜'})"
0.026653103,"frozenset({'水果/蔬菜汁', '全脂牛奶'})"
0.014750763,"frozenset({'全脂牛奶', '汉堡肉'})"
0.011291963,"frozenset({'全脂牛奶', '油'})"
0.012105799,"frozenset({'全脂牛奶', '洋葱'})"
0.011495422,"frozenset({'全脂牛奶', '火腿'})"
0.04231943,"frozenset({'热带水果', '全脂牛奶'})"
0.021261445,"frozenset({'牛肉', '全脂牛奶'})"
0.022177009,"frozenset({'全脂牛奶', '猪肉'})"
0.020447609,"frozenset({'瓶装啤酒', '全脂牛奶'})"
0.034384537,"frozenset({'全脂牛奶', '瓶装水'})"
0.013733469,"frozenset({'全脂牛奶', '甜点'})"
0.017090539,"frozenset({'白面包', '全脂牛奶'})"
0.010071211,"frozenset({'硬奶酪', '全脂牛奶'})"
0.033265514,"frozenset({'全脂牛奶', '糕点'})"
0.015055951,"frozenset({'全脂牛奶', '糖'})"
0.040081384,"frozenset({'全脂牛奶', '苏打水'})"
0.01180061,"frozenset({'全脂牛奶', '莓果'})"
0.024516785,"frozenset({'购物袋', '全脂牛奶'})"
0.011597152,"frozenset({'酪', '全脂牛奶'})"
0.056052899,"frozenset({'酸奶', '全脂牛奶'})"
0.03224822,"frozenset({'全脂牛奶', '酸奶油'})"
0.01353001,"frozenset({'长面包', '全脂牛奶'})"
0.056663276,"frozenset({'全脂牛奶', '面包卷'})"
0.019735504,"frozenset({'全脂牛奶', '餐巾'})"
0.029908444,"frozenset({'香肠', '全脂牛奶'})"
0.017599186,"frozenset({'鸡', '全脂牛奶'})"
0.027568667,"frozenset({'全脂牛奶', '黄油'})"
0.025228891,"frozenset({'黑面包', '全脂牛奶'})"
0.016480163,"frozenset({'冷冻热狗肠', '其他蔬菜'})"
0.017802645,"frozenset({'冷冻蔬菜', '其他蔬菜'})"
0.017192269,"frozenset({'凝乳', '其他蔬菜'})"
0.013428281,"frozenset({'其他蔬菜', '咖啡'})"
0.010783316,"frozenset({'咸点心', '其他蔬菜'})"
0.013733469,"frozenset({'其他蔬菜', '奶油乳酪'})"
0.010071211,"frozenset({'威化饼', '其他蔬菜'})"
0.012716175,"frozenset({'巧克力', '其他蔬菜'})"
0.019328586,"frozenset({'报纸', '其他蔬菜'})"
0.022278739,"frozenset({'本地蛋类', '其他蔬菜'})"
0.02889115,"frozenset({'柑橘类水果', '其他蔬菜'})"
0.0474059,"frozenset({'根茎类蔬菜', '其他蔬菜'})"
0.021057986,"frozenset({'水果/蔬菜汁', '其他蔬菜'})"
0.013835198,"frozenset({'汉堡肉', '其他蔬菜'})"
0.014242116,"frozenset({'洋葱', '其他蔬菜'})"
0.035910478,"frozenset({'热带水果', '其他蔬菜'})"
0.019735504,"frozenset({'牛肉', '其他蔬菜'})"
0.021668362,"frozenset({'猪肉', '其他蔬菜'})"
0.016174975,"frozenset({'瓶装啤酒', '其他蔬菜'})"
0.024821974,"frozenset({'其他蔬菜', '瓶装水'})"
0.011597152,"frozenset({'甜点', '其他蔬菜'})"
0.013733469,"frozenset({'白面包', '其他蔬菜'})"
0.022583927,"frozenset({'糕点', '其他蔬菜'})"
0.010783316,"frozenset({'糖', '其他蔬菜'})"
0.032756867,"frozenset({'苏打水', '其他蔬菜'})"
0.010274669,"frozenset({'莓果', '其他蔬菜'})"
0.023194303,"frozenset({'购物袋', '其他蔬菜'})"
0.010376399,"frozenset({'酪', '其他蔬菜'})"
0.043438454,"frozenset({'酸奶', '其他蔬菜'})"
0.02889115,"frozenset({'酸奶油', '其他蔬菜'})"
0.010681587,"frozenset({'长面包', '其他蔬菜'})"
0.042624619,"frozenset({'面包卷', '其他蔬菜'})"
0.014445575,"frozenset({'餐巾', '其他蔬菜'})"
0.026958291,"frozenset({'香肠', '其他蔬菜'})"
0.017904374,"frozenset({'鸡', '其他蔬菜'})"
0.020040692,"frozenset({'黄油', '其他蔬菜'})"
0.01871821,"frozenset({'黑面包', '其他蔬菜'})"
0.01017294,"frozenset({'冷冻热狗肠', '根茎类蔬菜'})"
0.011291963,"frozenset({'冷冻热狗肠', '苏打水'})"
0.011190234,"frozenset({'酸奶', '冷冻热狗肠'})"
0.019226857,"frozenset({'冷冻热狗肠', '面包卷'})"
0.010071211,"frozenset({'香肠', '冷冻热狗肠'})"
0.011597152,"frozenset({'冷冻蔬菜', '根茎类蔬菜'})"
0.012410987,"frozenset({'冷冻蔬菜', '酸奶'})"
0.01017294,"frozenset({'冷冻蔬菜', '面包卷'})"
0.010885046,"frozenset({'凝乳', '根茎类蔬菜'})"
0.010274669,"frozenset({'凝乳', '热带水果'})"
0.017293998,"frozenset({'凝乳', '酸奶'})"
0.010478128,"frozenset({'凝乳', '酸奶油'})"
0.010071211,"frozenset({'凝乳', '面包卷'})"
0.010986775,"frozenset({'面包卷', '咖啡'})"
0.012410987,"frozenset({'酸奶', '奶油乳酪'})"
0.01353001,"frozenset({'巧克力', '苏打水'})"
0.01180061,"frozenset({'巧克力', '面包卷'})"
0.011495422,"frozenset({'报纸', '根茎类蔬菜'})"
0.01180061,"frozenset({'报纸', '热带水果'})"
0.011291963,"frozenset({'报纸', '瓶装水'})"
0.014649034,"frozenset({'报纸', '苏打水'})"
0.015361139,"frozenset({'酸奶', '报纸'})"
0.019735504,"frozenset({'报纸', '面包卷'})"
0.010376399,"frozenset({'柑橘类水果', '本地蛋类'})"
0.014343845,"frozenset({'根茎类蔬菜', '本地蛋类'})"
0.011393693,"frozenset({'热带水果', '本地蛋类'})"
0.012410987,"frozenset({'苏打水', '本地蛋类'})"
0.014343845,"frozenset({'酸奶', '本地蛋类'})"
0.015666328,"frozenset({'面包卷', '本地蛋类'})"
0.017700916,"frozenset({'柑橘类水果', '根茎类蔬菜'})"
0.010376399,"frozenset({'水果/蔬菜汁', '柑橘类水果'})"
0.019938962,"frozenset({'柑橘类水果', '热带水果'})"
0.01353001,"frozenset({'柑橘类水果', '瓶装水'})"
0.012817904,"frozenset({'柑橘类水果', '苏打水'})"
0.021668362,"frozenset({'酸奶', '柑橘类水果'})"
0.010885046,"frozenset({'柑橘类水果', '酸奶油'})"
0.016785351,"frozenset({'柑橘类水果', '面包卷'})"
0.011291963,"frozenset({'香肠', '柑橘类水果'})"
0.012004069,"frozenset({'水果/蔬菜汁', '根茎类蔬菜'})"
0.021057986,"frozenset({'热带水果', '根茎类蔬菜'})"
0.017395727,"frozenset({'牛肉', '根茎类蔬菜'})"
0.01363174,"frozenset({'根茎类蔬菜', '猪肉'})"
0.015666328,"frozenset({'根茎类蔬菜', '瓶装水'})"
0.010986775,"frozenset({'糕点', '根茎类蔬菜'})"
0.01861648,"frozenset({'苏打水', '根茎类蔬菜'})"
0.012817904,"frozenset({'购物袋', '根茎类蔬菜'})"
0.025839268,"frozenset({'酸奶', '根茎类蔬菜'})"
0.017090539,"frozenset({'根茎类蔬菜', '酸奶油'})"
0.024313327,"frozenset({'根茎类蔬菜', '面包卷'})"
0.014954222,"frozenset({'香肠', '根茎类蔬菜'})"
0.010885046,"frozenset({'鸡', '根茎类蔬菜'})"
0.012919634,"frozenset({'黄油', '根茎类蔬菜'})"
0.01017294,"frozenset({'黑面包', '根茎类蔬菜'})"
0.013733469,"frozenset({'水果/蔬菜汁', '热带水果'})"
0.014242116,"frozenset({'水果/蔬菜汁', '瓶装水'})"
0.018413021,"frozenset({'水果/蔬菜汁', '苏打水'})"
0.010681587,"frozenset({'购物袋', '水果/蔬菜汁'})"
0.01871821,"frozenset({'水果/蔬菜汁', '酸奶'})"
0.014547304,"frozenset({'水果/蔬菜汁', '面包卷'})"
0.010071211,"frozenset({'水果/蔬菜汁', '香肠'})"
0.018514751,"frozenset({'热带水果', '瓶装水'})"
0.013224822,"frozenset({'热带水果', '糕点'})"
0.020854527,"frozenset({'热带水果', '苏打水'})"
0.01353001,"frozenset({'购物袋', '热带水果'})"
0.029298067,"frozenset({'酸奶', '热带水果'})"
0.013835198,"frozenset({'热带水果', '酸奶油'})"
0.024618515,"frozenset({'热带水果', '面包卷'})"
0.010071211,"frozenset({'热带水果', '餐巾'})"
0.013936928,"frozenset({'香肠', '热带水果'})"
0.010681587,"frozenset({'黑面包', '热带水果'})"
0.011698881,"frozenset({'牛肉', '酸奶'})"
0.01363174,"frozenset({'牛肉', '面包卷'})"
0.01190234,"frozenset({'苏打水', '猪肉'})"
0.011291963,"frozenset({'猪肉', '面包卷'})"
0.015768057,"frozenset({'瓶装啤酒', '瓶装水'})"
0.01698881,"frozenset({'瓶装啤酒', '苏打水'})"
0.01363174,"frozenset({'瓶装啤酒', '面包卷'})"
0.028992879,"frozenset({'苏打水', '瓶装水'})"
0.010986775,"frozenset({'购物袋', '瓶装水'})"
0.022990844,"frozenset({'酸奶', '瓶装水'})"
0.024211597,"frozenset({'面包卷', '瓶装水'})"
0.012004069,"frozenset({'香肠', '瓶装水'})"
0.010274669,"frozenset({'白面包', '苏打水'})"
0.021057986,"frozenset({'糕点', '苏打水'})"
0.01190234,"frozenset({'购物袋', '糕点'})"
0.017700916,"frozenset({'酸奶', '糕点'})"
0.020956256,"frozenset({'糕点', '面包卷'})"
0.012512716,"frozenset({'香肠', '糕点'})"
0.013835198,"frozenset({'罐装啤酒', '苏打水'})"
0.011393693,"frozenset({'购物袋', '罐装啤酒'})"
0.011291963,"frozenset({'罐装啤酒', '面包卷'})"
0.024618515,"frozenset({'购物袋', '苏打水'})"
0.027365209,"frozenset({'酸奶', '苏打水'})"
0.011597152,"frozenset({'苏打水', '酸奶油'})"
0.038351984,"frozenset({'苏打水', '面包卷'})"
0.012004069,"frozenset({'苏打水', '餐巾'})"
0.024313327,"frozenset({'香肠', '苏打水'})"
0.012614446,"frozenset({'黑面包', '苏打水'})"
0.010579858,"frozenset({'酸奶', '莓果'})"
0.01525941,"frozenset({'购物袋', '酸奶'})"
0.019532045,"frozenset({'购物袋', '面包卷'})"
0.015666328,"frozenset({'购物袋', '香肠'})"
0.020752798,"frozenset({'酸奶', '酸奶油'})"
0.034384537,"frozenset({'酸奶', '面包卷'})"
0.012309257,"frozenset({'酸奶', '餐巾'})"
0.019633774,"frozenset({'香肠', '酸奶'})"
0.014649034,"frozenset({'酸奶', '黄油'})"
0.014547304,"frozenset({'酸奶', '黑面包'})"
0.014649034,"frozenset({'面包卷', '酸奶油'})"
0.01017294,"frozenset({'黄油', '酸奶油'})"
0.011698881,"frozenset({'餐巾', '面包卷'})"
0.030620549,"frozenset({'香肠', '面包卷'})"
0.013428281,"frozenset({'黄油', '面包卷'})"
0.012614446,"frozenset({'黑面包', '面包卷'})"
0.010681587,"frozenset({'香肠', '黑面包'})"
0.01353001,"frozenset({'仁果类水果', '全脂牛奶', '其他蔬菜'})"
0.012309257,"frozenset({'全脂牛奶', '本地蛋类', '其他蔬菜'})"
0.013021363,"frozenset({'柑橘类水果', '全脂牛奶', '其他蔬菜'})"
0.023194303,"frozenset({'全脂牛奶', '根茎类蔬菜', '其他蔬菜'})"
0.010478128,"frozenset({'水果/蔬菜汁', '全脂牛奶', '其他蔬菜'})"
0.017090539,"frozenset({'热带水果', '全脂牛奶', '其他蔬菜'})"
0.01017294,"frozenset({'全脂牛奶', '猪肉', '其他蔬菜'})"
0.010783316,"frozenset({'全脂牛奶', '其他蔬菜', '瓶装水'})"
0.010579858,"frozenset({'全脂牛奶', '糕点', '其他蔬菜'})"
0.013936928,"frozenset({'全脂牛奶', '苏打水', '其他蔬菜'})"
0.022278739,"frozenset({'酸奶', '全脂牛奶', '其他蔬菜'})"
0.014649034,"frozenset({'全脂牛奶', '酸奶油', '其他蔬菜'})"
0.017904374,"frozenset({'全脂牛奶', '面包卷', '其他蔬菜'})"
0.01017294,"frozenset({'香肠', '全脂牛奶', '其他蔬菜'})"
0.011495422,"frozenset({'全脂牛奶', '黄油', '其他蔬菜'})"
0.010071211,"frozenset({'凝乳', '全脂牛奶', '酸奶'})"
0.010274669,"frozenset({'酸奶', '柑橘类水果', '全脂牛奶'})"
0.012004069,"frozenset({'热带水果', '根茎类蔬菜', '全脂牛奶'})"
0.014547304,"frozenset({'酸奶', '全脂牛奶', '根茎类蔬菜'})"
0.012716175,"frozenset({'全脂牛奶', '根茎类蔬菜', '面包卷'})"
0.015157681,"frozenset({'酸奶', '热带水果', '全脂牛奶'})"
0.010986775,"frozenset({'热带水果', '全脂牛奶', '面包卷'})"
0.010478128,"frozenset({'酸奶', '全脂牛奶', '苏打水'})"
0.010885046,"frozenset({'酸奶', '全脂牛奶', '酸奶油'})"
0.015564598,"frozenset({'酸奶', '全脂牛奶', '面包卷'})"
0.010376399,"frozenset({'柑橘类水果', '根茎类蔬菜', '其他蔬菜'})"
0.012309257,"frozenset({'热带水果', '根茎类蔬菜', '其他蔬菜'})"
0.012919634,"frozenset({'酸奶', '根茎类蔬菜', '其他蔬菜'})"
0.012207528,"frozenset({'根茎类蔬菜', '面包卷', '其他蔬菜'})"
0.012309257,"frozenset({'酸奶', '热带水果', '其他蔬菜'})"
0.01017294,"frozenset({'酸奶', '酸奶油', '其他蔬菜'})"
0.011495422,"frozenset({'酸奶', '面包卷', '其他蔬菜'})"
