use_start_time,销量
2016-08-01,9673
2016-08-02,6260
2016-08-03,7053
2016-08-04,7660
2016-08-05,9300
2016-08-06,33856
2016-08-07,31793
2016-08-08,6579
2016-08-09,7391
2016-08-10,10294
2016-08-11,7344
2016-08-12,7473
2016-08-13,33384
2016-08-14,32994
2016-08-15,10433
2016-08-16,4447
2016-08-17,9541
2016-08-18,10117
2016-08-19,10965
2016-08-20,41345
2016-08-21,36270
2016-08-22,6835
2016-08-23,7911
2016-08-24,6231
2016-08-25,6867
2016-08-26,10015
2016-08-27,32107
2016-08-28,38132
